ID,group,trial_number,trial_type,trial_role,token_opp,token_self,combined_earning,split_opp,split_self,splitperc_opp,splitperc_self,accept,accepted_amount,accepted_perc,proposed_perc,proposed_amount
1011,Control,48,2,1,2,3,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1011,Control,49,1,1,3,3,18,12.6,5.4,70,30,0.0,0.0,0.0,,
1012,Control,2,3,1,3,2,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1012,Control,3,2,1,1,2,9,5.4,3.6,60,40,0.0,0.0,0.0,,
1012,Control,5,3,1,3,2,15,9.75,5.25,65,35,1.0,5.25,35.0,,
1012,Control,6,2,1,2,3,15,11.25,3.75,75,25,0.0,0.0,0.0,,
1012,Control,7,1,1,2,2,12,10.8,1.2,90,10,0.0,0.0,0.0,,
1012,Control,8,3,1,2,1,9,7.2,1.8,80,20,0.0,0.0,0.0,,
1012,Control,11,2,1,1,2,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1012,Control,15,2,1,2,3,15,12.0,3.0,80,20,0.0,0.0,0.0,,
1012,Control,16,2,1,2,3,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1012,Control,17,2,1,2,3,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1012,Control,18,3,1,3,2,15,13.5,1.5,90,10,0.0,0.0,0.0,,
1012,Control,19,1,1,1,1,6,4.2,1.8,70,30,0.0,0.0,0.0,,
1012,Control,20,1,1,3,3,18,13.5,4.5,75,25,0.0,0.0,0.0,,
1012,Control,22,3,1,3,2,15,11.25,3.75,75,25,0.0,0.0,0.0,,
1012,Control,25,1,1,1,1,6,4.8,1.2,80,20,0.0,0.0,0.0,,
1012,Control,26,1,1,2,2,12,7.8,4.2,65,35,0.0,0.0,0.0,,
1012,Control,28,2,1,1,2,9,6.3,2.7,70,30,0.0,0.0,0.0,,
1012,Control,29,3,1,2,1,9,6.75,2.25,75,25,0.0,0.0,0.0,,
1012,Control,31,1,1,3,3,18,9.0,9.0,50,50,1.0,9.0,50.0,,
1012,Control,33,2,1,2,3,15,13.5,1.5,90,10,0.0,0.0,0.0,,
1012,Control,34,1,1,3,3,18,12.6,5.4,70,30,0.0,0.0,0.0,,
1012,Control,36,3,1,2,1,9,5.4,3.6,60,40,0.0,0.0,0.0,,
1012,Control,37,1,1,2,2,12,9.0,3.0,75,25,0.0,0.0,0.0,,
1012,Control,38,2,1,1,2,9,6.75,2.25,75,25,0.0,0.0,0.0,,
1012,Control,39,1,1,2,2,12,7.2,4.8,60,40,0.0,0.0,0.0,,
1012,Control,40,2,1,1,2,9,6.3,2.7,70,30,0.0,0.0,0.0,,
1012,Control,41,1,1,1,1,6,3.6,2.4,60,40,0.0,0.0,0.0,,
1012,Control,42,2,1,2,3,15,9.0,6.0,60,40,0.0,0.0,0.0,,
1012,Control,43,3,1,2,1,9,6.3,2.7,70,30,0.0,0.0,0.0,,
1012,Control,44,3,1,2,1,9,4.5,4.5,50,50,1.0,4.5,50.0,,
1012,Control,46,1,1,2,2,12,7.8,4.2,65,35,0.0,0.0,0.0,,
1012,Control,47,3,1,3,2,15,12.0,3.0,80,20,0.0,0.0,0.0,,
1012,Control,48,3,1,2,1,9,6.3,2.7,70,30,0.0,0.0,0.0,,
1012,Control,49,1,1,2,2,12,9.6,2.4,80,20,0.0,0.0,0.0,,
1012,Control,50,2,1,1,2,9,7.2,1.8,80,20,0.0,0.0,0.0,,
1012,Control,51,3,1,3,2,15,9.0,6.0,60,40,0.0,0.0,0.0,,
1013,Control,1,1,1,3,3,18,9.0,9.0,50,50,1.0,9.0,50.0,,
1013,Control,4,3,1,2,1,9,7.2,1.8,80,20,0.0,0.0,0.0,,
1013,Control,5,2,1,1,2,9,6.3,2.7,70,30,0.0,0.0,0.0,,
1013,Control,7,1,1,2,2,12,9.6,2.4,80,20,0.0,0.0,0.0,,
1013,Control,8,3,1,2,1,9,6.3,2.7,70,30,1.0,2.7,30.0,,
1013,Control,9,1,1,3,3,18,13.5,4.5,75,25,0.0,0.0,0.0,,
1013,Control,10,1,1,3,3,18,12.6,5.4,70,30,0.0,0.0,0.0,,
1013,Control,13,1,1,1,1,6,3.6,2.4,60,40,1.0,2.4,40.0,,
1013,Control,14,3,1,2,1,9,6.75,2.25,75,25,1.0,2.25,25.0,,
1013,Control,16,1,1,1,1,6,4.2,1.8,70,30,0.0,0.0,0.0,,
1013,Control,20,1,1,2,2,12,7.2,4.8,60,40,1.0,4.8,40.0,,
1013,Control,22,3,1,3,2,15,11.25,3.75,75,25,0.0,0.0,0.0,,
1013,Control,23,2,1,2,3,15,9.75,5.25,65,35,0.0,0.0,0.0,,
1013,Control,24,2,1,1,2,9,7.2,1.8,80,20,0.0,0.0,0.0,,
